"anio","tabla","variable","definicion","pregunta_literal","universo_literal","regla_derivacion"
2001,"persona","P40NIV","Pregunta orientada a indagar sobre el nivel o ciclo educativo escolar al que la persona asistió y el curso que aprobó, antes de ingresar a los niveles educativos que respondió en la anterior pregunta.","PARA INGRESAR A ESE NIVEL, ¿CUÁL FUE EL NIVEL O CURSO DE EDUCACIÓN ESCOLAR QUE APROBÓ? 11.Ninguno, 13.Básico, 14.Intermedio, 15.Medio, 16.Primaria actual, 17.Secundaria actual","Para personas de 4 años o más de edad.",""
2001,"persona","P41A","Se refiere al lugar donde vivía la persona entrevistada exactamente hace 5 años. Con esta pregunta se quiere conocer la migración reciente.","¿DÓNDE VIVIA HACE 5 AÑOS (1996)? 1.Aquí, 2.En otro lugar del país, 3.En el exterior, 4.Aún no nació","Para personas de 4 años o más de edad.",""
2001,"persona","P42","Se indaga si la persona entrevistada ha realizado durante la semana pasada alguna actividad u ocupación, para la producción o comercialización de bienes y/o prestación de servicios que tengan un valor económico en el mercado. A cambio de ese trabajo, la persona recibe una remuneración en dinero o especie.","DURANTE LA SEMANA PASADA ¿TRABAJÓ? 1.Sí, 2.No","Para personas de 7 años o más de edad.",""
2001,"persona","P43","El propósito de esta pregunta es identificar aquellas actividades a las que muchas personas no consideran TRABAJO, pero por definición, deben ser consideradas como tal.","DURANTE LA SEMANA PASADA 1.¿Tenía trabajo, pero no trabajó porque estuvo con licencia, vacación o por falta de materiales?, 2.¿Atendió o ayudó en los cultivos agrícolas o en la crianza de animales?, 3.¿Atendió o ayudó en algún negocio propio o familiar, 4.¿Realizó alguna actividad por ingreso?, 5.No trabajó.","Para personas de 7 años o más de edad.",""
2001,"persona","P44","Con esta pregunta se quiere identificar a las personas que no tienen trabajo o son cesantes.","DURANTE LA SEMANA PASADA, 1. ¿Buscó trabajo habiendo trabajado antes?, 2. ¿Buscó trabajo por primera vez?, 3. ¿Es estudiante?, 4. ¿Realizó labores de casa?, 5. ¿Es jubilado, pensionista o rentista?, 6. Otra","Para personas de 7 años o más de edad.",""
2001,"persona","P46","Indaga acerca de la categoría ocupacional de la persona empadronada. Las categorías ocupacionales distinguen la relación de dependencia de la persona respecto a un empleador.","EN ESA OCUPACIÓN, ¿USTED TRABAJO COMO… 3. Obrero o empleado?, 4. Trabajador por cuenta propia?, 5. Patrón socio o empleador?, 6. Cooperativista de producción?, 7. Trabajador familiar o aprendiz sin remuneración?","Para personas de 7 años o más de edad.",""
2001,"persona","P48","Indaga acerca del estado civil o conyugal actual de la persona empadronada.","¿CUÁL ES SU ESTADO CIVIL O CONYUGAL ACTUAL? 1.Soltero(a), 2.Casado(a), 3.Conviviente o concubino(a), 4.Separado(a), 5.Divorciado(a), 6.Viudo(a)","Personas de 15 años o más de edad.",""
2001,"persona","P491","Indaga acerca de los pueblos originarios o indígenas a los que pertenecen las personas empadronadas.","¿SE CONSIDERA PERTENECIENTE A ALGUNO DE LOS SIGUIENTES PUEBLOS ORIGINARIOS O INDÍGENAS… 1.Quechua, 2.Aymara, 3.Guaraní, 4.Chiquitano, 5.Mojeño, 6.Otro nativo, 7.Ninguno","Personas de 15 años o más de edad.",""
2001,"persona","P50","Indaga acerca del número de hijos(as) nacidos(as) vivos(as) que ha tenido la mujer.","EN TOTAL ¿CUÁNTAS HIJAS E HIJOS NACIDOS VIVOS HA TENIDO, INCLUYENDO FALLECIDOS O AUSENTES?","Personas de 15 años o más de edad.",""
2001,"persona","P51","Se indaga acerca del número de hijos(as) nacidos(as) vivos(as) que viven actualmente.","DE SUS HIJAS E HIJOS NACIDOS VIVOS, ¿CUÁNTOS VIVEN ACTUALMENTE?","Personas de 15 años o más de edad.",""
2001,"persona","P52","Se indaga acerca del número de hijos(as) nacidos(as) vivos(as) que han fallecido.","DE SUS HIJAS E HIJOS NACIDOS VIVOS, ¿CUÁNTOS FALLECIERON?","Personas de 15 años o más de edad.",""
2001,"persona","P53A","Se indaga por el año en el cual nació su último(a) hijo(a) nacido(a) vivo(a).","¿EN QUE AÑO NACIÓ SU ULTIMA HIJA O HIJO NACIDO VIVO?","Personas de 15 años o más de edad.",""
2001,"persona","P53M","Se indaga por el último mes en el cual nació su último(a) hijo(a) nacido(a) vivo(a).","¿EN QUE MES NACIÓ SU ULTIMA HIJA O HIJO NACIDO VIVO?","Personas de 15 años o más de edad.",""
2001,"persona","P54","Con esta pregunta se indaga dónde acudieron las mujeres para la atención de su último parto.","¿DÓNDE TUVO LUGAR ESE SU ÚLTIMO PARTO? 1.En un establecimiento de salud, 2.En un domicilio, 3.En otro lugar","Personas de 15 años o más de edad.",""
2001,"persona","P55","Con esta pregunta se indaga quién atendió a la mujer en su último parto.","¿QUIÉN ATENDIÓ SU PARTO? 1.Médico, 2.Enfermera o Auxiliar de enfermería, 3.Partera, 4.Usted misma, 5.Otra persona","Personas de 15 años o más de edad.",""
2001,"vivienda","V04","Esta variable busca clasificar el tipo de vivienda habitada por las personas entrevistadas. Existen dos categorías, que a la vez se dividen en sub categorías: VIVIENDA PARTICULAR: Vivienda destinada para ser habitada por un hogar. VIVIENDA COLECTIVA: Vivienda habitada por un grupo de personas, que viven en un régimen no familiar, sometidas a normas, objetivos o intereses comunes.","TIPO DE VIVIENDA 11. Casa/Choza/Pahuichi, 12. Departamento, 13. Cuarto(s) o habitación(es) suelta(s), 14. Vivienda improvisada o vivienda móvil, 15. Local no destinado para habitación, 16. Hotel/Residencial/Alojamiento 17. Hospital/Clínica, 18. Asilo/Orfelinato, 19. Convento o residencia religiosa, 20. Internado o residencia educativa, 21. Establecimiento militar o policial, 22. Cárcel/Establecimiento correccional, 23. Otra, 24.TRANSEUNTES Y PERSONAS QUE VIVEN EN LA CALLE","Todas las viviendas particulares y colectivas que se encuentran en el país.",""
2001,"vivienda","V05","Identifica viviendas ocupadas con ocupantes presentes o ausentes y viviendas desocupadas.","VIVIENDA OCUPADAS 1. Con habitantes presentes, 2. Con habitantes ausentes DESOCUPADAS 3. Para alquilar y/o vender, 4. En construcción o reparación, 5. Usada por temporada, 6. Abandonada","Todas las viviendas particulares y colectivas que se encuentran en el país.",""
2001,"vivienda","V06","Especifica el material de construcción que predomina en las PAREDES de la vivienda.","¿CUÁL ES EL MATERIAL DE CONSTUCCIÓN MÁS UTILIZADO EN LAS PAREDES DE ESTA VIVIENDA? 1.Ladrillo/Bloque de cemento/Hormigón, 2.Adobe/Tapial, 3.Tabique/Quinche, 4.Piedra, 5.Madera, 6.Caña/Palma/Tronco, 7.Otro","Todas las viviendas particulares, ocupadas, con habitantes presentes, que existen en el país.",""
2001,"vivienda","V07","Determina si las paredes interiores de la vivienda tienen REVOQUE.","¿LAS PAREDES INTERIORES DE ESTA VIVIENDA TIENEN REVOQUE? 7.Sí, 8.No","Todas las viviendas particulares, ocupadas, con habitantes presentes, que existen en el país.",""
2001,"vivienda","V08","Especifica el material de construcción que predomina en los TECHOS de la vivienda.","¿CUÁL ES EL MATERIAL MÁS UTILIZADO EN LOS TECHOS DE ESTA VIVIENDA? 1.Calamina o plancha, 2.Tejas (cemento/arcilla/fibrocemento), 3.Losa de hormigón armado, 4.Paja/Caña/Palma/Barro, 5.Otro","Todas las viviendas particulares, ocupadas, con habitantes presentes, que existen en el país.",""
2001,"vivienda","V09","Especifica el material de construcción que predomina en los PISOS de la vivienda.","¿CUÁL ES EL MATERIAL MÁS UTILIZADO EN LOS PISOS DE ESTA VIVIENDA? 1.Tierra, 2.Tablón de madera, 3.Machihembre/Parquet, 4.Alfombra/tapizón, 5.Cemento, 6.Mosaico/Baldosa/Cerámica, 7.Ladrillo, 8.Otro","Todas las viviendas particulares, ocupadas, con habitantes presentes, que existen en el país.",""
2001,"vivienda","V10","Indaga acerca de la procedencia del agua utilizada para beber y cocinar en la vivienda.","PRINCIPALMENTE ¿DE DÓNDE OBTIENE EL AGUA PARA BEBER Y COCINAR? 1.Cañería de red, 2.Pileta pública, 3.Carro repartidor (aguatero), 4.Pozo o noria con bomba, 5.Pozo o noria sin bomba, 6.Río/Vertiente/Acequia, 7.Lago/Laguna/Curiche, 8.Otra","Todas las viviendas particulares, ocupadas, con habitantes presentes, que existen en el país.",""
2001,"vivienda","V11","Indaga la forma en la que se distribuye el agua al interior de la vivienda.","¿EL AGUA PARA BEBER Y COCINAR SE DISTRIBUYE… 6. Por cañería dentro de la vivienda?, 7.Por cañería fuera de la vivienda pero dentro del lote o terreno?, 8.No se distribuye por cañería?","Todas las viviendas particulares, ocupadas, con habitantes presentes, que existen en el país.",""
2001,"vivienda","V12","Se indaga si la vivienda tiene o no tiene servicio sanitario.","¿TIENE BAÑO, WATER O LETRINA? 1.Si, 2.No","Todas las viviendas particulares, ocupadas, con habitantes presentes, que existen en el país.",""
2001,"vivienda","V13","Indaga si el baño del cual dispone la vivienda es de uso privado del hogar o compartido con otros hogares.","¿EL BAÑO, WATER O LETRINA ES… 3.Usado sólo por su hogar?, 4.Compartido con otros hogares?","Todas las viviendas particulares, ocupadas, con habitantes presentes, que existen en el país.",""
2001,"vivienda","V14","Esta pregunta permite investigar si la vivienda dispone de un adecuado sistema de eliminación de excretas.","¿EL BAÑO, WATER O LETRINA TIENE DESAGUE… 1. Al alcantarillado? , 2. A una cámara séptica?, 3. A un pozo ciego?, 4. A la superficie (calle/quebrada/río)?","Todas las viviendas particulares, ocupadas, con habitantes presentes, que existen en el país.",""
2001,"vivienda","V15","Esta pregunta indaga si el hogar cuenta con instalaciones de energía eléctrica.","¿USA ENERGÍA ELÉCTRICA PARA ALUMBRAR ESTA VIVIENDA? 5.Sí, 6.No","Todas las viviendas particulares, ocupadas, con habitantes presentes, que existen en el país.",""
2001,"vivienda","V16","Esta pregunta indaga acerca del tipo de combustible o energía que utiliza el hogar para cocinar/preparar sus alimentos.","PRINCIPALMENTE, ¿QUÉ TIPO DE COMBUSTIBLE O ENERGÍA UTILIZA PARA COCINAR? 1.Leña, 2.Guano/Bosta o taquia, 3.Kerosén, 4.Gas (garrafa o por cañería), 5.Electricidad, 6.Otro, 7.No utiliza","Todas las viviendas particulares, ocupadas, con habitantes presentes, que existen en el país.",""
2001,"vivienda","V17","Esta pregunta indaga si el hogar dispone de un espacio delimitado por paredes y techos, independiente y destinado exclusivamente para la preparación de alimentos y limpieza de los utensilios de cocina.","¿TIENE UN CUARTO SÓLO PARA COCINAR? 7.Sí, 8.No","Todas las viviendas particulares, ocupadas, con habitantes presentes, que existen en el país.",""
2001,"vivienda","V18","Indaga acerca de la cantidad de cuartos que ocupan en la vivienda, con el objetivo de ver la situación de hacinamiento del hogar.","¿CUÁNTOS CUARTOS O HABITACIONES OCUPA SU HOGAR, SIN CONTAR CUARTOS DE BAÑO Y COCINA? 1.Uno, 2.Dos, 3.Tres, 4.Cuatro, 5.Cinco, 6.Seis, 7.Siete, 8.Ocho o más","Todas las viviendas particulares, ocupadas, con habitantes presentes, que existen en el país.",""
2001,"vivienda","V19","Indaga acerca del número de dormitorios que ocupan en la vivienda, con el objetivo de ver la situación de hacinamiento del hogar.","DE ESTOS CUARTOS O HABITACIONES ¿CUÁNTOS SE UTILIZAN PARA DORMIR? 1.Uno, 2.Dos, 3.Tres, 4.Cuatro, 5.Cinco, 6.Seis, 7.Siete, 8.Ocho o más","Todas las viviendas particulares, ocupadas, con habitantes presentes, que existen en el país.",""
2001,"vivienda","V201","Con esta pregunta se indaga si el hogar posee o no cada uno de los siguientes bienes duraderos: - RADIO O EQUIPO DE SONIDO","¿USTEDES TIENEN RADIO O EQUIPO DE SONIDO?","Todas las viviendas particulares, ocupadas, con habitantes presentes, que existen en el país.",""
2001,"vivienda","V202","Con esta pregunta se indaga si el hogar posee o no cada uno de los siguientes bienes duraderos: - TELEVISOR","¿USTEDES TIENEN TELEVISOR?","Todas las viviendas particulares, ocupadas, con habitantes presentes, que existen en el país.",""
2001,"vivienda","V203","Con esta pregunta se indaga si el hogar posee o no cada uno de los siguientes bienes duraderos: - BICICLETA","¿USTEDES TIENEN BICICLETA?","Todas las viviendas particulares, ocupadas, con habitantes presentes, que existen en el país.",""
2001,"vivienda","V204","Con esta pregunta se indaga si el hogar posee o no cada uno de los siguientes bienes duraderos: - MOTOCICLETA","¿USTEDES TIENEN MOTOCICLETA?","Todas las viviendas particulares, ocupadas, con habitantes presentes, que existen en el país.",""
2001,"vivienda","V205","Con esta pregunta se indaga si el hogar posee o no cada uno de los siguientes bienes duraderos: - VEHÍCULO AUTOMOTOR","¿USTEDES TIENEN VEHÍCULO AUTOMOTOR?","Todas las viviendas particulares, ocupadas, con habitantes presentes, que existen en el país.",""
2001,"vivienda","V206","Con esta pregunta se indaga si el hogar posee o no cada uno de los siguientes bienes duraderos: - REFRIGERADOR","¿USTEDES TIENEN REFRIGERADOR?","Todas las viviendas particulares, ocupadas, con habitantes presentes, que existen en el país.",""
2001,"vivienda","V207","Con esta pregunta se indaga si el hogar posee o no cada uno de los siguientes bienes duraderos: - TELÉFONO","¿USTEDES TIENEN TELÉFONO?","Todas las viviendas particulares, ocupadas, con habitantes presentes, que existen en el país.",""
2001,"vivienda","V208","Con esta pregunta se indaga si el hogar posee o no cada uno de los siguientes bienes duraderos: - BOMBA ELÉCTRICA DE AGUA","¿USTEDES TIENEN BOMBA ELÉCTRICA DE AGUA?","Todas las viviendas particulares, ocupadas, con habitantes presentes, que existen en el país.",""
2001,"vivienda","V21","Esta pregunta indaga acerca de la condición de propiedad o tenencia de la vivienda que ocupada.","¿LA VIVIENDA QUE OCUPAN ES… 1. propia?, 2. alquilada?, 3. en contrato anticrético?, 4. en contrato mixto?, 5. cedida por servicios?, 6. prestada por parientes o amigos?, 7. otra?","Todas las viviendas particulares, ocupadas, con habitantes presentes, que existen en el país.",""
2001,"vivienda","V221","Con esta pregunta se indaga acerca del número de personas con discapacidad en la vivienda, como ser ciegas, sordomudas, paralíticas o que hayan sufrido alguna amputación.","EN ESTE HOGAR ¿CUÁNTAS PERSONAS SON CIEGAS?","Todas las viviendas particulares, ocupadas, con habitantes presentes, que existen en el país.",""
2001,"vivienda","V222","Con esta pregunta se indaga acerca del número de personas con discapacidad en la vivienda, como ser ciegas, sordomudas, paralíticas o que hayan sufrido alguna amputación.","EN ESTE HOGAR ¿CUÁNTAS PERSONAS SON SORDOMUDAS? 0.Ninguna, 1.1, 2.2, 3.3 o más","Todas las viviendas particulares, ocupadas, con habitantes presentes, que existen en el país.",""
2001,"vivienda","V223","Con esta pregunta se indaga acerca del número de personas con discapacidad en la vivienda, como ser ciegas, sordomudas, paralíticas o que hayan sufrido alguna amputación.","EN ESTE HOGAR ¿CUÁNTAS PERSONAS SON PARALÍTICAS Y/O TIENEN AMPUTADO ALGÚN BRAZO O PIERNA? 0.Ninguna, 1.1, 2.2, 3.3 o más","Todas las viviendas particulares, ocupadas, con habitantes presentes, que existen en el país.",""
2001,"vivienda","V23","Con esta pregunta se indaga si durante el año 2000 murió alguna persona que viviá con las personas de la vivienda.","DURANTE EL AÑO 2000 ¿MURIÓ ALGUNA PERSONA QUE VIVÍA CON USTEDES? 1.Si, 2.No","Todas las viviendas particulares, ocupadas, con habitantes presentes, que existen en el país.",""
2001,"vivienda","V24","Con esta pregunta se busca determinar si la persona que murió era mujer de 15 o más años.","ESTA PERSONA, ¿ERA MUJER DE 15 O MÁS AÑOS DE EDAD? 1.Si, 2.No","Todas las viviendas particulares, ocupadas, con habitantes presentes, que existen en el país.",""
2001,"vivienda","V25","En en caso de haberse respondido afirmativamente a la pregunta anterior, esta pregunta indaga las causas del fallecimiento. Con esta variable se obtiene información sobre la mortalidad materna.","¿SU FALLECIMIENTO SE PRODUJO… 3. estando embarazada?, 4. dando a luz?, 5. hasta los dos meses después de haber dado a luz?, 6. otros?","Todas las viviendas particulares, ocupadas, con habitantes presentes, que existen en el país.",""
2001,"vivienda","V26","Con esta pregunta se averigua la edad que tenía la mujer en el momento de su deceso.","¿QUÉ EDAD TENÍA CUANDO FALLECIÓ?","Todas las viviendas particulares, ocupadas, con habitantes presentes, que existen en el país.",""
2012,"discapacidad","P22D","Edad del miembro del hogar con alguna dificultad permanente","Edad","Todos los miembros del hogar",""
2012,"discapacidad","P22E","Sexo del miembro del hogar con alguna dificultad permanente","La persona es: Mujer Hombre","Todos los miembros del hogar",""
2012,"discapacidad","P22F1","Dificultad permanente para ver, aun si usa anteojos o lentes por parte de algun miembro del hogar","La dificultad permanente es para... ver, aún si usa anteojos o lentes?","Todos los miembros del hogar",""
2012,"discapacidad","P22F3","Dificultad permanente para hablar, comunicarse o conversar por parte de algun miembro del hogar","La dificultad permanente es para... hablar, comunicarse o conversar?","Todos los miembros del hogar",""
2012,"discapacidad","P22F4","Dificultad permanente para caminar o subir escalones por parte de algun miembro del hogar","La dificultad permanente es para... caminar o subir escalones?","Todos los miembros del hogar",""
2012,"discapacidad","P22F5","Dificultad permanente para recordar o concentrarse por parte de algun miembro del hogar","La dificultad permanente es para... recordar o concentrarse?","Todos los miembros del hogar",""
2012,"emigracion","P20E","Condición biológica que distingue a las personas en hombres y mujeres.","La persona es: (1)Mujer, (2)Hombre","Todos los miembros del hogar",""
2012,"emigracion","P20F","El año en el algún integrante del hogar se fue a vivir a otro país, tomando en cuenta del año 2001","Año de salida del país","Todos los miembros del hogar",""
2012,"emigracion","P20G","Edad de algún integrante del hogar se fue a vivir a otro país, tomando en cuenta del año 2001","A qué edad se fue","Todos los miembros del hogar",""
2012,"emigracion","P20J","Nombre del país en el que algún integrante del hogar se fue a vivir a otro país, tomando en cuenta del año 2001","País donde vive Actualmente","Todos los miembros del hogar",""
2012,"persona","P23","La jefa o jefe del hogar es la persona reconocida como tal por los demás miembros del hogar, sin considerar el sexo, la edad o el ingreso que perciba. En la boleta censal, la pregunta sobre la relación de parentesco se refiere a la relación que existe entre la jefa o jefe de hogar y cada uno de los miembros presentes en la vivienda en el momento del Censo.","¿Qué relación o parentesco tiene con la jefa o jefe del hogar? (1) Jefa o jefe del hogar, (2) Esposo/a, conviviente o concubino/a; (3) Hija o hijo; (4) Nuera o Yerno, (5) Nieta o nieto, (6) Hermana/o o cuñada/o, (7) Padre, madre, suegra/o, (8) Otro pariente, (9) Trabajador/a del hogar, (10) Otro no pariente, (11) Persona en vivienda colectiva","Todos los miembros del hogar",""
2012,"persona","P24","Condición biológica que distingue a las personas en hombres y mujeres.","¿Es mujer o hombre? (1) Mujer, (2) Hombre","Todos los miembros del hogar",""
2012,"persona","P25","Años cumplidos que tiene la persona desde la fecha del nacimiento hasta el momento del empadronamiento.","¿Cuantos años cumplidos tiene?","Todos los miembros del hogar",""
2012,"persona","P26","Es un grupo administrativo o servicio público, encargado de dejar constancia de los hechos o actos relativos al estado civil de las personas físicas, así como otros que las leyes le encomienden.","¿Su nacimiento está inscrito en el registro civil o cívico? (1) Si, (2) No","Todos los miembros del hogar",""
2012,"persona","P27","Se indaga si los miembros del hogar tiene carnet o cédula de identidad","27. ¿Tiene carnet o cédula de identidad? (1) Si, (2) No","Todos los miembros del hogar",""
2012,"persona","P28A","Lugar donde acuden las personas cuando tienen problemas de salud.","Cuando tiene problemas de salud, ¿acude a caja de salud (CNS, COSSMIL, u otras)? (1) Si, (2) No","Todos los miembros del hogar",""
2012,"persona","P28B","Lugar donde acuden las personas cuando tienen problemas de salud.","Cuando tiene problemas de salud, ¿acude a seguro de salud privado? (1) Si, (2) No","Todos los miembros del hogar",""
2012,"persona","P28C","Lugar donde acuden las personas cuando tienen problemas de salud.","Cuando tiene problemas de salud, ¿acude a establecimiento de salud público? (1) Si, (2) No","Todos los miembros del hogar",""
2012,"persona","P28D","Lugar donde acuden las personas cuando tienen problemas de salud.","Cuando tiene problemas de salud, ¿acude a establecimiento de salud privado? (1) Si, (2) No","Todos los miembros del hogar",""
2012,"persona","P28E","Lugar donde acuden las personas cuando tienen problemas de salud.","Cuando tiene problemas de salud, ¿acude a médico tradicional? (1) Si, (2) No","Todos los miembros del hogar",""
2012,"persona","P28F","Lugar donde acuden las personas cuando tienen problemas de salud.","Cuando tiene problemas de salud, ¿acude a soluciones caseras? (1) Si, (2) No","Todos los miembros del hogar",""
2012,"persona","P28G","Lugar donde acuden las personas cuando tienen problemas de salud.","Cuando tiene problemas de salud, ¿acude a la farmacia o se automedica? (1) Si, (2) No","Todos los miembros del hogar",""
2012,"persona","P30B","Se refiere al primer idioma que aprendio a hablar","¿Cuál es el primer idioma que aprendió a hablar en su niñez?","Todos los miembros del hogar",""
2012,"persona","P31B1","Se indaga sobre los idiomas que habla, según al orden de importancia en el caso que hablara más de un idioma","¿Qué idiomas habla?","Todos los miembros del hogar",""
2012,"persona","P32A","Se refiere al lugar de nacimiento del entrevistado","¿Donde nació? (1)Aqui, (2) En otro lugar del país (3) En el exterior","Todos los miembros del hogar",""
2012,"persona","P32J","Nombre del departamento donde nació el entrevistado","Departamento de donde vivie habitualmente","Todos los miembros del hogar",""
2012,"persona","P33A","Nombre de la ciudad o comunidad donde vive actualmente el entrevistado","¿Dónde vive actualmente? (1) Aqui, (2) En otro lugar del país (3) En el exterior","Todos los miembros del hogar",""
2012,"persona","P33H","El lugar de residencia habitual se refiere al lugar geográfico en que la persona censada reside habitualmente. El lugar de residencia habitual puede coincidir o no con el lugar de presencia de la persona en el momento del empadronamiento.","Departamento","Todos los miembros del hogar",""
2012,"persona","P34A","Se refiere al lugar geográfico en que la persona censada residía habitualmente en el año 2007. El lugar de residencia habitual cinco años antes del Censo puede coincidir o no con el lugar de presencia de la persona en el momento del empadronamiento.","¿Dónde vivia hace cinco años? (1) Aqui, (2) En otro lugar del país (3) En el exterior","Todos los miembros del hogar",""
2012,"persona","P34H","Se refiere al lugar geográfico en que la persona censada residía habitualmente en el año 2007. El lugar de residencia habitual cinco años antes del Censo puede coincidir o no con el lugar de presencia de la persona en el momento del empadronamiento.","¿Dónde vivia hace cinco años?","Todos los miembros del hogar",""
2012,"persona","P35","La presencia o ausencia de esta competencia (leer y escribir) permite investigar el alfabetismo de la población, la cual se define como la aptitud de las personas para leer y escribir.","¿Sabe leer y escribir? (1) Si, (2) No","Todos los miembros del hogar",""
2012,"persona","P36","Asistencia o inasistencia a un centro educativo","Actualmente, ¿asiste a una escuela o colegio? (1) Sí, a una pública, (2) Sí, a una privada, (3) Sí, a una de convenio, (4) No asiste","Todos los miembros del hogar",""
2012,"persona","P37A_NIVELNUE","El nivel y curso más alto de instrucción aprobado permite obtener el nivel de estudios alcanzado por una persona hasta la fecha del censo.","¿Cuál fue el nivel y curso más alto de instrucción que aprobó? (1) Ninguno, (2) Curso de alfabetización, (3) Inicial (Pre kínder, kínder), (4) Básico (1 a 5 años), (5) Intermedio (1 a 3 años), (6) Medio (1 a 4 años), (7) Primaria (1 a 8 años), (8) Secundaria (1 a 4 años), (9) Primaria (1 a 6 años), (10) Secundaria (1 a 6 años), (11) Técnico universitario, (12) Licenciatura, (13) Maestría, (14) Doctorado, (15) Normal Superior, (16) Militar o Policial, (17) Técnico de Instituto, (18) Otro","Todos los miembros del hogar",""
2012,"persona","P42","Se entiende por ocupación, trabajo u oficio principal a la clase de trabajo que realizó la persona ocupada la semana anterior al día del Censo.","¿Cuál fue su ocupación, trabajo u oficio principal durante la semana pasada?","Todos los miembros del hogar",""
2012,"persona","P43","Con esta pregunta se busca conocer la relación del trabajador con su empleo, es decir, la forma que tiene de insertarse en el mercado laboral.","En esa ocupación, ¿usted trabajó como... (1) obrera/o o empleada/o?, (2) trabajadora/or por cuenta propia?, (3) empleadora/or o socia/o, (4) trabajadora/or familiar o aprendiz sin remuneración?, (5) trabajadora/or del hogar?, (6) cooperativista de producción/servicios?","Todos los miembros del hogar",""
2012,"persona","P44","Se entiende por rama de actividad económica a la actividad del establecimiento en la cual trabajó una persona económicamente activa durante la semana anterior al día del Censo.","¿Qué produce, vende o a que actividad económica se dedica principalmente el lugar o establecimiento donde trabaja?","Todos los miembros del hogar",""
2012,"persona","P45","Es la situación personal en que se encuentra o no una persona física en relación a otra, con quien se crean lazos jurídicamente reconocidos sin que sea su pariente, constituyendo con ella una institución familiar, y adquiriendo derechos y deberes al respecto.","45. ¿Cuál es su estado civil o conjugal? (1) Soltera/o (2) Casada/o, (3) Conviviente o concubina/o, (4) Separada/o, (5) Divorsiada/o, (6) Viuda/o","Todos los miembros del hogar",""
2012,"vivienda","P01","Vivienda es todo local o recinto estructuralmente separado e independiente que ha sido construido, convertido o dispuesto para fines de alojamiento permanente o temporal de una o más personas. La vivienda debe tener acceso directo desde espacios públicos (plazas, calles, avenidas, etc.) o desde espacios de uso común (pasillos, patios, escaleras), sin atravesar otra vivienda.","Tipo de vivienda (Marque por observación) Particular: (1) Casa/choza/pahuichi, (2) departamento, (3) Cuarto(s) o habitación(es) suelta(s),(4) Vivienda improvisada, (5) Local no destinado para vivienda Colectiva:(6) Vivienda colectiva (Hoteles, hospitales, asilos, cuarteles y otros) Sin vivienda: (7) En tránsito, (8) Persona que vive en la calle","Viviendas",""
2012,"vivienda","P02","Condición de ocupación de las viviendas particulares que pueden ser ocupadas o desocupadas.","La vivienda está...(Marque por observación) Viviendas ocupadas: (1) ocupada con personas presentes; (2) ocupada con personas temporalmente ausentes. Viviendas desocupadas: (3) para alquilar y/o vender; (4) en construcción o reparación, (5) abandonada Luego de confirmar con los vecinos que en la viviensa no existen ocupantes presentes, pase a la siguiente vivienda.","Viviendas",""
2012,"vivienda","P03","La información sobre los materiales de construcción más utilizados en los elementos de la vivienda proporciona una base muy útil para el estudio del parque de viviendas y las condiciones habitacionales de la población.","¿Cuál es el material de construcción más utilizado en las paredes exteriores de esta vivienda? (1) bloque de cemento, hormigón, (2) Adobe, tapial, (3) Tabique, quinche, (4) Piedra, (5) Madera, (6) Caña, palma, tronco, (7) Otro","Viviendas",""
2012,"vivienda","P04","La información sobre los materiales de construcción más utilizados en los elementos de la vivienda proporciona una base muy útil para el estudio del parque de viviendas y las condiciones habitacionales de la población.","¿Las paredes interiores de esta vivienda tienen revoque? (1) Si, (2) No","Viviendas",""
2012,"vivienda","P05","La información sobre los materiales de construcción más utilizados en los elementos de la vivienda proporciona una base muy útil para el estudio del parque de viviendas y las condiciones habitacionales de la población.","¿Cuál es el material más utilizado en los techos de esta vivienda? (1) Calamina o plancha metálica, (2) teja de arcilla de cemento, fibrocemento (3) Losa de hormigón armado (4) Paja, palma, caña, barro (5) Otro","Viviendas",""
2012,"vivienda","P06","La información sobre los materiales de construcción más utilizados en los elementos de la vivienda proporciona una base muy útil para el estudio del parque de viviendas y las condiciones habitacionales de la población.","¿Cuál es el material más utilizado en los pisos de esta vivienda? (1) Tierra, (2) Tablón de madera, (3) Machihembre (4) Parquet, (5) Cerámica (6) Cemento, (7) Mosaico, baldosa, (8)Ladrillo (9) Otro","Viviendas",""
2012,"vivienda","P07","El sistema de abastecimiento de agua está relacionado con la protección del líquido elemento contra las impurezas y la contaminación.","Principalmente, ¿el agua que usan en la vivienda proviene de … (1) cañería de red?, (2) pileta pública?, (3) carro repartidor (aguatero)?, (4) pozo o noria con bomba?, (5) pozo o noria sin bomba?, (6) lluvia, río, vertiente, acequia?, (7) lago, laguna, curichi?","Viviendas",""
2012,"vivienda","P08","La distribución del agua en la vivienda permite investigar la accesibilidad del hogar para con el agua que utiliza, así como una aproximación a la calidad del agua del hogar.","¿El agua que usan en la vivienda se distribuye … (1) por cañería dentro de la vivienda? (2) por cañería fuera de la vivienda pero dentro del lote o terreno? (3) por cañería fuera de la vivienda y del lote o terreno? (4) no se distribuye por cañería?","Viviendas",""
2012,"vivienda","P09","La disponibilidad de servicio sanitario está estrechamente relacionada con el saneamiento básico y el medioambiente.","¿Tiene servicio sanitario, baño o letrina? (1) Sí, de uso privado, (2) Sí, de uso compartido, (3) No tiene","Viviendas",""
